,Room Name,DateIn,DateOut
84,Meeting Room B317,2020/10/3,2020/10/10
85,Meeting Room B318,2020/10/3,2020/10/10
86,Meeting Room B319,2020/10/3,2020/10/10
89,Meeting Room B401,2020/10/3,2020/10/10
90,Meeting Room B402,2020/10/3,2020/10/10
91,Meeting Room B403,2020/10/3,2020/10/10
92,Meeting Room B404,2020/10/3,2020/10/10
93,Meeting Room B405,2020/10/3,2020/10/10
94,Meeting Room B406,2020/10/3,2020/10/10
97,Meeting Room B407,2020/10/3,2020/10/10
98,Meeting Room B408,2020/10/3,2020/10/10
99,Meeting Room B409,2020/10/3,2020/10/10
100,Meeting Room B411,2020/10/3,2020/10/10
39,Sidney Marcus Auditorium,2020/10/3,2020/10/10
102,Thomas Murphy Ballroom 1,2020/10/3,2020/10/10
103,Thomas Murphy Ballroom 2,2020/10/3,2020/10/10
104,Thomas Murphy Ballroom 3,2020/10/3,2020/10/10
105,Thomas Murphy Ballroom 4,2020/10/3,2020/10/10
87,Building B Registration Hall,2020/11/28,2020/12/4
41,Exhibit Hall B2,2020/11/28,2020/12/4
42,Exhibit Hall B3,2020/11/28,2020/12/4
45,Exhibit Hall Meeting Room B101,2020/11/28,2020/12/4
46,Exhibit Hall Meeting Room B102,2020/11/28,2020/12/4
47,Exhibit Hall Meeting Room B103,2020/11/28,2020/12/4
48,Meeting Room B201,2020/11/28,2020/12/4
49,Meeting Room B202,2020/11/28,2020/12/4
50,Meeting Room B203,2020/11/28,2020/12/4
51,Meeting Room B204,2020/11/28,2020/12/4
53,Meeting Room B206,2020/11/28,2020/12/4
54,Meeting Room B207,2020/11/28,2020/12/4
55,Meeting Room B208,2020/11/28,2020/12/4
66,Meeting Room B301,2020/11/28,2020/12/4
67,Meeting Room B302,2020/11/28,2020/12/4
68,Meeting Room B303,2020/11/28,2020/12/4
69,Meeting Room B304,2020/11/28,2020/12/4
70,Meeting Room B305,2020/11/28,2020/12/4
71,Meeting Room B306,2020/11/28,2020/12/4
73,Meeting Room B308,2020/11/28,2020/12/4
74,Meeting Room B309,2020/11/28,2020/12/4
75,Meeting Room B310,2020/11/28,2020/12/4
76,Meeting Room B311,2020/11/28,2020/12/4
77,Meeting Room B312,2020/11/28,2020/12/4
78,Meeting Room B313,2020/11/28,2020/12/4
81,Meeting Room B314,2020/11/28,2020/12/4
82,Meeting Room B315,2020/11/28,2020/12/4
83,Meeting Room B316,2020/11/28,2020/12/4
89,Meeting Room B401,2020/11/28,2020/12/4
90,Meeting Room B402,2020/11/28,2020/12/4
91,Meeting Room B403,2020/11/28,2020/12/4
93,Meeting Room B405,2020/11/28,2020/12/4
94,Meeting Room B406,2020/11/28,2020/12/4
97,Meeting Room B407,2020/11/28,2020/12/4
98,Meeting Room B408,2020/11/28,2020/12/4
99,Meeting Room B409,2020/11/28,2020/12/4
102,Thomas Murphy Ballroom 1,2020/11/28,2020/12/4
103,Thomas Murphy Ballroom 2,2020/11/28,2020/12/4
104,Thomas Murphy Ballroom 3,2020/11/28,2020/12/4
105,Thomas Murphy Ballroom 4,2020/11/28,2020/12/4
101,Authority Boardroom,2020/4/12,2020/4/17
87,Building B Registration Hall,2020/4/12,2020/4/17
40,Exhibit Hall B1,2020/4/12,2020/4/17
41,Exhibit Hall B2,2020/4/12,2020/4/17
44,Exhibit Hall B5,2020/4/12,2020/4/17
42,Exhibit Hall B3,2020/4/12,2020/4/17
43,Exhibit Hall B4,2020/4/12,2020/4/17
48,Meeting Room B201,2020/4/12,2020/4/17
49,Meeting Room B202,2020/4/12,2020/4/17
50,Meeting Room B203,2020/4/12,2020/4/17
51,Meeting Room B204,2020/4/12,2020/4/17
52,Meeting Room B205,2020/4/12,2020/4/17
53,Meeting Room B206,2020/4/12,2020/4/17
54,Meeting Room B207,2020/4/12,2020/4/17
55,Meeting Room B208,2020/4/12,2020/4/17
56,Meeting Room B209,2020/4/12,2020/4/17
57,Meeting Room B210,2020/4/12,2020/4/17
58,Meeting Room B211,2020/4/12,2020/4/17
59,Meeting Room B212,2020/4/12,2020/4/17
60,Meeting Room B213,2020/4/12,2020/4/17
61,Meeting Room B214,2020/4/12,2020/4/17
62,Meeting Room B215,2020/4/12,2020/4/17
63,Meeting Room B216,2020/4/12,2020/4/17
64,Meeting Room B217,2020/4/12,2020/4/17
65,Meeting Room B218,2020/4/12,2020/4/17
66,Meeting Room B301,2020/4/12,2020/4/17
67,Meeting Room B302,2020/4/12,2020/4/17
68,Meeting Room B303,2020/4/12,2020/4/17
69,Meeting Room B304,2020/4/12,2020/4/17
70,Meeting Room B305,2020/4/12,2020/4/17
71,Meeting Room B306,2020/4/12,2020/4/17
72,Meeting Room B307,2020/4/12,2020/4/17
73,Meeting Room B308,2020/4/12,2020/4/17
74,Meeting Room B309,2020/4/12,2020/4/17
75,Meeting Room B310,2020/4/12,2020/4/17
76,Meeting Room B311,2020/4/12,2020/4/17
77,Meeting Room B312,2020/4/12,2020/4/17
78,Meeting Room B313,2020/4/12,2020/4/17
81,Meeting Room B314,2020/4/12,2020/4/17
82,Meeting Room B315,2020/4/12,2020/4/17
83,Meeting Room B316,2020/4/12,2020/4/17
84,Meeting Room B317,2020/4/12,2020/4/17
85,Meeting Room B318,2020/4/12,2020/4/17
86,Meeting Room B319,2020/4/12,2020/4/17
89,Meeting Room B401,2020/4/12,2020/4/17
90,Meeting Room B402,2020/4/12,2020/4/17
91,Meeting Room B403,2020/4/12,2020/4/17
92,Meeting Room B404,2020/4/12,2020/4/17
93,Meeting Room B405,2020/4/12,2020/4/17
94,Meeting Room B406,2020/4/12,2020/4/17
97,Meeting Room B407,2020/4/12,2020/4/17
98,Meeting Room B408,2020/4/12,2020/4/17
99,Meeting Room B409,2020/4/12,2020/4/17
100,Meeting Room B411,2020/4/12,2020/4/17
102,Thomas Murphy Ballroom 1,2020/4/12,2020/4/17
103,Thomas Murphy Ballroom 2,2020/4/12,2020/4/17
104,Thomas Murphy Ballroom 3,2020/4/12,2020/4/17
105,Thomas Murphy Ballroom 4,2020/4/12,2020/4/17
24,Building A-B Registration Hall,2020/1/21,2020/2/3
25,Executive Boardroom,2020/1/21,2020/2/3
143,Exhibit Hall BC,2020/1/21,2020/2/3
