,sqftPerEvent,orderedRentTotal,Attendance,totalRoomNights,eventDuration,contactTillStart,M-B,E-A,E-B,E-C,M-A,M-C,FB
235,2553,359.28,170,0.0,1,98,0,2,0,0,0,0,3200.0
234,19186,4990.0,750,1.0,1,720,0,2,0,0,4,0,0.0
233,994500,54000.0,6914,0.0,4,432,0,0,0,1,0,0,0.0
232,2976304,29565.0,14970,1.0,3,1555,2,0,0,2,0,20,1.0
231,6546,1965.0,30,1.0,4,19,1,0,0,0,0,0,0.01
230,422721,0.0,650,1520.0,2,446,0,1,0,0,7,0,120000.0
229,11291,0.0,170,1.0,1,92,0,0,0,0,2,0,10725.0
228,206764,15000.0,350,0.0,3,242,0,0,0,0,21,0,0.0
227,3548921,183800.0,27000,3200.0,3,1535,0,0,0,7,0,23,1.0
226,3681541,129000.0,2550,8280.0,9,79,49,0,3,0,1,0,500000.0
225,172000,5400.0,549,1.0,2,102,0,1,0,0,0,0,0.01
224,4019520,132615.86,3300,0.0,4,649,0,0,0,4,0,26,0.0
223,1066147,42945.0,1090,5080.0,2,1608,0,2,0,0,30,0,32000.0
222,299034,19960.0,5000,0.0,1,289,0,0,0,3,0,1,0.0
220,19553,5100.0,1500,0.0,1,177,0,0,0,0,2,0,0.0
219,3139017,88680.0,8020,1.0,3,701,0,3,2,0,2,0,1.0
221,937110,28000.0,100,0.0,2,15,0,0,0,1,0,13,2400.0
218,34496,5720.0,1000,0.0,4,147,0,0,0,0,2,0,0.0
217,65902,1410.0,600,0.0,2,105,0,0,0,0,0,12,0.0
216,2990422,94600.0,8254,0.0,3,385,0,3,0,0,17,0,0.0
215,627000,27000.0,1650,0.0,3,513,0,0,0,2,0,0,0.0
214,308013,60000.0,1500,0.0,4,464,0,0,0,0,13,0,10000.0
213,1538680,49400.0,12500,1.0,1,436,0,0,0,5,0,9,0.0
212,22303,5076.0,1000,1.0,1,862,0,0,0,0,2,0,0.0
211,173294,14787.5,5700,1.0,38,72,7,0,0,0,1,2,1.0
210,53462,17500.0,5000,0.0,1,308,0,0,0,0,0,0,0.0
209,434712,18000.0,1450,0.0,2,225,0,1,0,0,10,0,0.0
208,3960827,237795.0,7000,1.0,4,1503,51,0,3,0,1,0,0.0
206,730680,19707.5,40100,1.0,2,1452,0,0,0,3,0,0,0.0
205,645072,14275.0,1500,0.0,2,353,0,0,0,2,0,2,0.0
204,300628,34936.0,1100,0.0,3,387,0,1,0,0,15,0,0.0
202,20708,4870.0,968,0.0,1,148,0,0,0,0,3,0,0.0
201,5488,1000.0,100,0.0,1,27,0,0,0,0,1,0,0.0
200,5482566,210000.0,9300,15605.0,4,1527,47,1,6,0,0,0,300000.0
199,733134,45425.0,1000,2105.0,3,1071,0,1,0,0,21,0,0.0
198,24760,8570.0,588,0.0,1,257,0,0,0,0,0,0,0.0
197,1480814,75000.0,2000,1.0,3,810,0,2,0,0,17,0,0.0
196,10678957,359870.0,34990,30000.0,5,1471,47,1,5,0,13,4,125000.0
195,105000,15000.0,50,0.0,1,10,0,1,0,0,0,0,0.0
194,11291,2875.0,347,0.0,1,172,0,0,0,0,2,0,0.0
193,947194,24000.0,1645,0.0,2,439,0,1,0,0,10,0,0.0
192,29391,4394.5,300,0.0,3,35,0,0,0,0,4,0,0.0
189,33966,5500.0,300,1.0,2,323,0,0,0,0,3,0,0.0
188,525824,31200.0,5000,0.0,2,458,0,0,0,2,0,0,0.0
187,184240,32696.0,3300,1.0,1,1443,0,0,0,0,0,6,0.0
190,303063,6990.0,1200,0.0,1,227,3,0,0,0,0,0,0.0
191,18333,4375.0,1000,0.0,1,142,0,0,0,0,1,0,0.0
185,302434,19960.0,850,1.0,2,701,0,2,0,0,5,0,0.0
186,1914284,57200.0,9868,1.0,3,354,0,0,0,5,0,0,0.0
184,525790,91608.0,600,0.0,8,137,0,0,0,0,0,21,0.0
183,791276,11000.0,1600,0.0,2,332,6,0,1,0,0,0,0.0
182,2125842,120441.5,31000,7042.0,4,1332,0,4,0,0,29,0,0.0
181,1250304,55600.0,50000,1.0,4,428,0,0,0,2,0,6,0.0
180,1460000,49500.0,80000,0.0,6,453,0,0,0,2,0,0,0.0
179,6700123,243300.0,10000,11500.0,3,1537,47,1,6,0,23,0,0.0
178,212723,6000.0,8000,0.0,1,233,0,0,0,5,0,0,0.0
177,212723,6000.0,8000,0.0,1,353,0,0,0,5,0,0,0.0
176,114043,27775.0,4000,1.0,1,536,0,0,0,0,3,0,0.0
175,112348,6000.0,7000,0.0,1,289,0,0,0,2,0,3,0.0
174,728000,25784.0,175,0.0,1,100,0,1,0,0,0,0,0.0
173,173331,7000.0,1229,0.0,2,160,0,0,0,0,0,15,85000.0
172,32492,7290.0,702,0.0,1,130,0,0,0,0,0,0,0.0
171,32870,6000.0,800,0.0,1,113,0,0,0,0,0,0,0.0
170,6961649,0.0,3500,0.0,3,398,47,1,4,0,0,0,650000.0
169,4008698,125000.0,5362,5237.0,3,1485,0,3,0,0,30,0,0.0
167,12806406,433356.0,81836,19600.0,4,1476,51,7,5,4,29,0,500000.0
166,106500,6500.0,2000,0.0,1,159,0,0,0,3,0,0,0.0
165,294186,5000.0,4500,1.0,1,347,3,0,0,0,0,0,0.0
164,2676916,110236.0,12000,1200.0,2,858,15,0,5,1,0,0,0.0
163,1682114,106784.0,2130,2450.0,2,862,0,2,0,0,19,0,150000.0
162,119056,0.0,820,1.0,1,261,0,0,0,0,0,2,28560.0
160,2022878,98410.0,13924,12000.0,2,771,0,3,0,0,29,0,0.0
158,1020000,40000.0,200,0.0,1,104,0,3,0,0,0,0,0.0
157,2021576,56000.0,100,0.0,4,80,5,2,4,0,1,0,0.0
155,6345554,345022.0,43969,17600.0,3,1396,47,3,5,9,0,0,0.0
156,88617,28785.0,250,1.0,3,438,0,0,0,0,0,3,0.0
154,6171,1850.0,224,0.0,1,103,2,0,0,0,0,0,0.0
153,43712,0.0,450,1.0,1,725,0,0,0,0,0,1,20000.0
151,4160117,234700.0,20400,1.0,3,1416,29,4,0,0,29,0,0.0
152,194815,9720.0,5300,0.0,2,146,1,0,2,0,0,0,0.0
149,5050812,332800.0,50000,1.0,5,1387,0,0,0,4,0,8,0.0
150,12643,1161.0,250,0.0,1,75,0,0,0,0,0,2,0.0
148,7685,3605.0,415,1.0,1,329,0,0,0,0,0,0,0.0
147,69649,12870.0,1284,0.0,8,118,0,0,0,0,2,0,0.0
146,10211752,370300.0,15000,19900.0,3,1402,47,0,6,0,0,0,0.01
145,170424,34900.0,1500,1.0,3,462,0,0,0,0,3,0,0.0
144,244728,28690.0,2000,0.0,3,408,0,0,0,0,0,9,0.0
143,3362064,84952.75,5417,13320.0,4,1443,50,0,4,0,0,0,100000.0
141,6015598,219050.0,7628,16415.0,3,1424,0,0,0,8,0,23,0.0
