,sqftPerEvent,orderedRentTotal,Attendance,totalRoomNights,eventDuration,contactTillStart,M-B,E-A,E-B,E-C,M-A,M-C,FB
391,1863888,130000.0,7720,14375.0,3,1829,47,0,2,0,0,0,10000.0
390,600198,14275.0,2400,114.0,3,114,0,2,0,0,4,0,0.01
389,151778,32087.25,640,510.0,4,427,0,0,0,0,0,6,30000.0
388,16435,6292.0,300,1.0,1,163,0,0,0,0,0,0,1.0
387,322620,22321.5,756,1.0,1,508,0,0,0,4,0,2,1.0
386,1593333,73914.62,8000,8636.0,4,1333,5,4,0,0,26,0,1.0
385,51305,6292.0,1150,1.0,1,137,0,0,0,0,0,0,16500.0
384,10992,3300.0,60,1.0,2,106,3,0,0,0,0,0,1.0
382,786790,19551.0,750,5250.0,4,95,0,1,0,0,23,0,200000.0
381,20234,5100.0,900,1.0,1,194,0,0,0,0,2,0,1.0
380,418950,21000.0,700,1.0,2,239,0,0,0,4,0,0,1.0
379,157550,4600.0,25,1.0,1,2,0,0,0,1,0,3,400.0
378,41368,8750.0,900,1.0,1,141,0,0,0,0,0,0,1.0
377,11094752,506400.0,7651,31000.0,5,1281,51,4,4,0,29,0,280000.0
375,1031610,33250.0,5731,1.0,2,246,0,0,0,3,0,8,1.0
374,164702,33677.0,3000,1.0,1,1807,0,0,0,0,0,7,1.0
376,11291,3385.0,600,1.0,1,120,0,0,0,0,2,0,0.01
373,172000,6000.0,3000,1.0,2,128,0,1,0,0,0,0,0.01
372,11718,3117.25,150,1.0,2,139,0,0,0,0,0,4,1.0
371,487177,11000.0,2500,1.0,3,79,6,0,1,0,1,0,0.01
370,2610368,130000.0,36200,7042.0,4,1648,0,7,0,0,29,0,1.0
369,1250304,58500.0,48000,1.0,4,476,0,0,0,2,0,6,1.0
368,5515710,257000.0,8292,6870.0,3,1422,47,0,5,0,0,0,1.0
367,1530658,55221.0,80000,1.0,6,348,0,0,0,4,0,5,1.0
365,212723,6500.0,7000,1.0,1,297,0,0,0,5,0,0,1.0
364,218348,6750.0,5000,1.0,1,373,0,0,0,3,0,3,1.0
362,1425401,150000.0,1800,7000.0,3,863,0,1,0,0,29,0,500000.0
361,4096,94.5,155,1.0,1,37,0,0,0,0,1,0,1500.0
360,3331,1100.0,50,1.0,1,44,0,0,0,0,1,0,1.0
359,33674046,790250.0,25000,20000.0,4,1820,51,4,5,9,0,23,0.01
358,16435,6292.0,1700,1.0,1,60,0,0,0,0,0,0,1.0
357,27191,19635.0,1200,1.0,1,136,0,0,0,0,0,0,1.0
356,664005,35000.0,961,20.0,2,305,0,0,0,0,0,1,0.01
354,1126000,61000.0,2500,150.0,1,252,0,2,0,0,0,0,100000.0
355,37831,1805.0,600,1.0,1,205,0,0,0,0,0,0,26500.0
353,2129329,183669.5,1400,3760.0,3,775,1,1,0,0,30,0,100000.0
352,11476,3445.0,500,1.0,1,174,4,0,0,0,0,0,0.01
351,22032,5122.75,300,1.0,2,241,3,0,0,0,0,0,1.0
350,147407,36821.0,1384,300.0,4,148,0,0,0,0,0,6,1.0
349,1052565,67400.0,4166,4500.0,3,1672,1,2,0,0,29,0,38000.0
348,32754,11000.0,958,1.0,1,80,0,0,0,0,0,2,1.0
347,2107328,110236.0,8025,12000.0,2,1270,0,0,0,9,0,10,1.0
346,3278868,175000.0,19300,25450.0,4,262,36,0,5,0,4,0,90000.0
345,119056,0.0,831,1.0,1,205,0,0,0,0,0,2,28560.0
344,99115,0.0,390,1.0,30,50,9,0,0,0,8,0,30000.0
343,1472591,53500.0,225,1.0,1,54,0,0,0,2,0,0,2000.0
342,106223,15000.0,580,1.0,1,170,0,0,0,2,0,0,1.0
341,2022878,104100.25,28000,12000.0,2,1137,0,3,0,0,29,0,1.0
340,88617,28000.0,1132,1.0,3,522,0,0,0,0,0,3,1.0
339,15390664,587500.0,30944,10299.0,4,1819,47,1,6,5,0,23,100000.0
338,2070107,110000.0,3275,4835.0,3,1816,0,2,0,0,28,0,1.0
337,3331,1100.0,150,1.0,1,19,0,0,0,0,1,0,1.0
336,5066137,290708.0,43932,17600.0,3,1760,47,1,5,9,0,0,1.0
335,4096,0.0,290,1.0,1,13,0,2,0,0,0,0,5000.0
334,34032,627.0,750,1.0,1,85,0,0,0,0,1,0,22000.0
333,51758,1385.0,530,1.0,1,415,0,0,0,0,0,0,25000.0
332,36866,12000.0,800,1.0,2,141,0,0,0,0,1,0,1.0
331,192364,9500.0,3100,1.0,1,173,3,0,2,0,0,0,1.0
330,4400074,289077.9,20000,12860.0,3,1780,30,5,1,0,29,0,100000.0
329,198475,8850.0,2500,1.0,2,127,5,0,1,0,0,0,0.01
328,10299,1100.0,145,1.0,1,404,0,0,0,0,0,1,8000.0
327,5022210,332800.0,50500,1.0,5,1751,0,0,0,4,0,8,1.0
326,6768060,112443.0,9629,19405.0,4,1735,47,1,6,0,23,15,0.01
325,7633078,516140.0,35000,21118.0,4,96,6,2,2,6,0,24,75000.0
324,1422135,50000.0,1300,2150.0,5,1424,0,1,0,0,6,0,25000.0
322,104562,35600.0,1550,1.0,2,514,0,0,0,0,0,2,1.0
323,515000,37500.0,1100,120.0,5,225,0,0,0,1,0,0,1.0
321,1216700,46000.0,6000,200.0,3,340,1,0,1,0,0,0,1.0
320,968235,53040.0,25000,1.0,3,429,0,2,0,0,1,0,1.0
