,Event ID,Description,Cluster,Demand,PM
100,5758,Honda Battle of the Bands,COMP,2,0.175446899
101,6205,2017 International Production & Processing Expo,CONV,1,0.17565745
102,14696,Jurassic Quest,PUB,1,0.192631396
103,13249,Allstate Southeast Region,MEET,1,0.188229769
104,11468,Abbey Carpet & Floor / Floors to Go,CONV,2,0.168101136
105,13519,Atlanta ACG Capital Connection,CONF_GAM,1,0.19350194
106,5523,Ultimate Gym Sports - Paws for a Cause Invitational,COMP,1,0.165266121
107,14843,Call of Duty World League: North American Regional,COMP,1,0.178988633
108,10033,Bronner Bros. International Beauty Show,CONV,2,0.171002524
109,12448,Georgia Bridal & Wedding Expo,PUB,1,0.185680309
110,13178,2017 Georgia Entertainment Gala,CON_P,1,0.193826573
111,13861,HD Supply Selling Family Summit,CONV,2,0.192273903
112,7726,CHEERSPORT Nationals 2017,COMP,1,0.170978
113,15410,MacGyver,FILM_AWC,0,0.195345587
114,13169,Devnexus,CONF_GAM,1,0.162732147
115,14699,Arenacross,COMP,1,0.145809887
116,5895,Supercross,COMP,1,0.186529197
117,14560,Hearth & Patio - Freeman,CON_P,1,0.178521248
118,5060,"SECO International, LLC",CONV,2,0.179804854
119,5328,Hearth Patio & Barbecue Association,CONV,2,0.181149996
120,15321,Logan Lucky,FILM_AWC,0,0.192778097
121,5221,"American Academy of Allergy, Asthma & Immunology",CONV,2,0.177728472
122,14562,AutoShow - Freeman,CON_P,1,0.179878054
123,13081,5Linx International Training Event,CONV,2,0.097454525
124,12698,Starpower Competition,COMP,2,0.178580061
125,5558,Ace Hardware Spring Convention & Exhibits,CONV,2,0.176816177
126,15008,Nritya Natya Kala Bharti,CON_P,1,0.199158165
127,13724,Junior Achievement Fellows Graduation,SMALL,1,0.173472597
128,6113,2017 Atlanta International Auto Show,PUB,2,0.175583304
129,15205,General Motors Auto Show Kick-off Breakfast,ME_OTH,2,0.199022513
130,5499,Hinman Dental Meeting,CONV,2,0.180718787
131,14877,ALPHA KAPPA ALPHA,CONF_GAM,0,0.156896716
132,15138,Real Estate Mastermind,MEET,2,0.108196621
133,6128,2017 Big South Qualifier,COMP,2,0.167798044
134,12996,Revolution Talent Competition,COMP,2,0.194850287
135,15260,Manifesto,FILM_AWC,1,0.155922264
136,15154,Den of Thieves,FILM_AWC,1,0.186657627
137,15249,H20scars,FILM_AWC,1,0.192287795
138,10684,One Up Championship,COMP,2,0.17414945
139,14394,ACVB Annual Meeting 2017,SMALL,1,-0.091611818
140,10189,IDA Expo,CONV,1,0.178393141
141,15677,AMBSE Press Event,ME_OTH,1,0.177836964
142,10224,Southern Region Volleyball,COMP,2,0.170969566
143,13817,2017 March for Babies,CHRTY_GRAD,1,0.183451337
144,14965,Slammedenuff,PUB,0,0.191012354
145,5343,National Rifle Association,CONV,1,0.174376003
146,15691,Compass Group-People Summit,MEET,1,0.178058373
147,5362,Interwire 2017,CONV,2,0.184353772
148,13552,Sage Summit 2017,CONV,2,0.184955197
149,15286,Pascal Desroches All Hands Meeting,MEET,1,0.186759032
150,15179,Vaisakhi Mela,CON_P,1,0.191934969
151,15079,Georgia Logistics Summit,MEET,1,0.189667585
152,15418,Manifesto,FILM_AWC,1,0.190375107
