,Event ID,Description,Start Date,End Date,Status,Type,Booked Spaces,Firm (Booked Date),Forecast Attendance,Actual Attendance (Attendee + Exhibitor),In Date,Out Date,Booking Entered On (Client Contact Date),SQFT per Event,F&B Minimum Per Contract:,Total Room Nights,Ordered Rent Total,eventDuration,bookingTillStart,contactTillStart,totalEventDuration,startDoW,endDoW,isWeekend,isHoliday,isHolidayTotal,isStadium,Frequency,Recur (Y/N),O,U,P-A,P-B,P-C,M-A2,E-A3,E-A1,E-A2,E-B1,E-B2,E-B3,E-C1,M-A5,M-B2,M-C4,BA-C,M-A1,P,M-A4,M-A3,M-B3,M-B4,M-B1,M-B5,M-C1,M-C2,M-C3,BA-A,BA-B,Expense
366,9499,VMUG Regional User Group,42271,2015/9/24,Confirmed (56),MEET,"['Georgia Ballroom 1-3', ' Meeting Room C201', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' Meeting Room C208', ' Meeting Room C209', ' Meeting Room C210', ' Meeting Room C211', ' Meeting Room C301']",41893,550,650,42270,2015/9/24,41877,77445,25000,1,0,1,378,394,2,3,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,5,0,0,0,nomatch
367,11019,Music @ Noon,42271,2015/9/24,Confirmed (56),CON,['Southern Company Amphitheater'],42104,200,0,42271,2015/9/24,42104,0,0,1,0,1,167,167,1,3,3,0,0,0,0,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
368,12123,Carter Majestic HJAIA Opportunities Event,42271,2015/9/24,Confirmed (56),MEET,['Meeting Room A412'],42258,100,150,42271,2015/9/24,42257,5488,,,1233.75,1,13,14,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
369,9585,Metro Atlanta Heart Walk,42273,2015/9/26,Confirmed (56),CHRTY,['Entire Park'],42139,15000,0,42271,2015/9/26,41898,0,0,1,23400,1,134,375,3,5,5,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
370,9817,Georgia Music Hall of Fame Awards Show,42273,2015/9/26,Confirmed (56),AWC,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Patio', ' Gold Deck Turnaround', ' Meeting Room C301', ' Meeting Room C302']",42118,1000,780,42272,2015/9/27,41926,126907,20000,1,0,1,155,347,3,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,nomatch
371,5169,National Safety Council,42275,2015/10/2,Confirmed (56),CONV,"['Building A Registration Hall', ' Building B Connector Overlook', ' Building B Registration Hall', ' Building B-C Connector', ' Building C Connector Overlook', ' Exhibit Halls B2-B5 Combined', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Terraces Meeting Room 1', ' Terraces Meeting Room 2', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Dressing Room 5', ' Thomas Murphy Ballroom Dressing Room 6', ' Thomas Murphy Ballroom Dressing Room 7', ' Thomas Murphy Ballroom Dressing Room 8', ' Thomas Murphy Ballroom Galleria']",41349,14000,16940,42270,2015/10/2,41349,6926204,0,35425,300000,5,926,926,10,0,4,0,0,0,0,1,0,2,1,1,2,1,0,0,0,0,1,7,32,0,0,3,0,0,0,4,0,0,24,11,6,3,0,0,0,0,10,nomatch
372,11020,Music @ Noon,42276,2015/9/29,Confirmed (56),CON,['Southern Company Amphitheater'],42104,200,0,42276,2015/9/29,42104,0,0,1,0,1,172,172,1,1,1,0,0,0,0,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
373,9793,CorpComm Expo,42277,2015/10/1,Confirmed (56),CONF,"['Exhibit Hall C1', ' Exhibit Hall Meeting Room C111-C114', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105-C106', ' Meeting Room C107', ' Meeting Room C108-C109', ' Meeting Room C110', ' Room C101 Auditorium', ' Room C102 Auditorium']",41960,1000,1000,42275,2015/10/2,41921,723185,0,1,26612.5,2,317,356,5,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,4,2,0,0,0,nomatch
374,11924,Wednesday WindDown,42277,2015/9/30,Confirmed (56),CON,['Southern Company Amphitheater'],42229,1500,0,42277,2015/9/30,42229,0,0,1,200,1,48,48,1,2,2,0,0,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
375,12012,Metro West (JA),42277,2015/9/30,Confirmed (56),INT,['JA Finance Park Classroom'],42242,30,30,42277,2015/9/30,42242,0,,,0,1,35,35,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
376,12098,Vision and Values Tour (JA),42277,2015/9/30,Confirmed (56),MEET,['JA BizTown Pre-Function Area'],42251,50,50,42277,2015/9/30,42251,0,,,0,1,26,26,1,2,2,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
